Title,Description,Label
Government launches new health scheme,The article spreads misinformation without proof.,Fake
Government launches new health scheme,No credible sources back this claim about elections.,Fake
Celebrity found in secret scandal,Detailed report by experts confirms the news.,Real
Government launches new health scheme,Social media users are sharing false details widely.,Real
Celebrity found in secret scandal,Financial experts analyze market trends and growth.,Real
Government launches new health scheme,Detailed report by experts confirms the news.,Real
Unverified report on climate change,No credible sources back this claim about elections.,Fake
Tech company releases new smartphone,People panicked due to misleading earthquake news.,Fake
Rumors about elections go viral,The article spreads misinformation without proof.,Real
Stock market hits all-time high,AI breakthroughs are officially confirmed by researchers.,Fake
New AI model beats humans in chess,No credible sources back this claim about elections.,Fake
NASA discovers water on Mars,Financial experts analyze market trends and growth.,Real
NASA discovers water on Mars,People panicked due to misleading earthquake news.,Real
Celebrity found in secret scandal,Detailed report by experts confirms the news.,Real
Fake claim about COVID-19 cure spreads,Scientists provide evidence supporting the discovery.,Fake
False story about earthquake warning,Detailed report by experts confirms the news.,Real
Celebrity found in secret scandal,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,AI breakthroughs are officially confirmed by researchers.,Real
Tech company releases new smartphone,Detailed report by experts confirms the news.,Real
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Fake
False story about earthquake warning,AI breakthroughs are officially confirmed by researchers.,Fake
False story about earthquake warning,AI breakthroughs are officially confirmed by researchers.,Real
NASA discovers water on Mars,Social media users are sharing false details widely.,Fake
New AI model beats humans in chess,No credible sources back this claim about elections.,Fake
Unverified report on climate change,AI breakthroughs are officially confirmed by researchers.,Fake
Tech company releases new smartphone,Social media users are sharing false details widely.,Real
Rumors about elections go viral,Scientists provide evidence supporting the discovery.,Fake
Government launches new health scheme,The article spreads misinformation without proof.,Fake
Stock market hits all-time high,Press release confirms smartphone features and specs.,Fake
Unverified report on climate change,Social media users are sharing false details widely.,Fake
Stock market hits all-time high,The article spreads misinformation without proof.,Real
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Fake
NASA discovers water on Mars,Scientists provide evidence supporting the discovery.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
NASA discovers water on Mars,Press release confirms smartphone features and specs.,Fake
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Fake
Rumors about elections go viral,Social media users are sharing false details widely.,Real
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Real
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Fake
Tech company releases new smartphone,Detailed report by experts confirms the news.,Fake
New AI model beats humans in chess,No credible sources back this claim about elections.,Real
Rumors about elections go viral,The article spreads misinformation without proof.,Real
Fake claim about COVID-19 cure spreads,Rumors spread online without scientific validation.,Real
Government launches new health scheme,The article spreads misinformation without proof.,Real
Government launches new health scheme,Social media users are sharing false details widely.,Fake
Celebrity found in secret scandal,Social media users are sharing false details widely.,Fake
Rumors about elections go viral,Scientists provide evidence supporting the discovery.,Fake
Tech company releases new smartphone,No credible sources back this claim about elections.,Real
Government launches new health scheme,Financial experts analyze market trends and growth.,Fake
Fake claim about COVID-19 cure spreads,AI breakthroughs are officially confirmed by researchers.,Real
NASA discovers water on Mars,Detailed report by experts confirms the news.,Real
Fake claim about COVID-19 cure spreads,Financial experts analyze market trends and growth.,Fake
False story about earthquake warning,Press release confirms smartphone features and specs.,Real
Rumors about elections go viral,Press release confirms smartphone features and specs.,Real
Stock market hits all-time high,The article spreads misinformation without proof.,Real
Government launches new health scheme,Press release confirms smartphone features and specs.,Fake
NASA discovers water on Mars,Press release confirms smartphone features and specs.,Real
Unverified report on climate change,The article spreads misinformation without proof.,Fake
New AI model beats humans in chess,People panicked due to misleading earthquake news.,Fake
Tech company releases new smartphone,AI breakthroughs are officially confirmed by researchers.,Real
New AI model beats humans in chess,Financial experts analyze market trends and growth.,Real
Tech company releases new smartphone,Social media users are sharing false details widely.,Fake
False story about earthquake warning,Financial experts analyze market trends and growth.,Fake
False story about earthquake warning,People panicked due to misleading earthquake news.,Real
Fake claim about COVID-19 cure spreads,Social media users are sharing false details widely.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Fake
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Real
Celebrity found in secret scandal,No credible sources back this claim about elections.,Real
New AI model beats humans in chess,AI breakthroughs are officially confirmed by researchers.,Real
NASA discovers water on Mars,Social media users are sharing false details widely.,Fake
Unverified report on climate change,Scientists provide evidence supporting the discovery.,Fake
Unverified report on climate change,Financial experts analyze market trends and growth.,Real
NASA discovers water on Mars,The article spreads misinformation without proof.,Real
Celebrity found in secret scandal,Rumors spread online without scientific validation.,Fake
Celebrity found in secret scandal,No credible sources back this claim about elections.,Real
New AI model beats humans in chess,Rumors spread online without scientific validation.,Fake
NASA discovers water on Mars,Social media users are sharing false details widely.,Real
Unverified report on climate change,Press release confirms smartphone features and specs.,Real
Government launches new health scheme,Financial experts analyze market trends and growth.,Fake
Stock market hits all-time high,Scientists provide evidence supporting the discovery.,Fake
False story about earthquake warning,Press release confirms smartphone features and specs.,Fake
Fake claim about COVID-19 cure spreads,Social media users are sharing false details widely.,Fake
Stock market hits all-time high,No credible sources back this claim about elections.,Real
Government launches new health scheme,The article spreads misinformation without proof.,Real
Unverified report on climate change,The article spreads misinformation without proof.,Real
Rumors about elections go viral,No credible sources back this claim about elections.,Fake
Government launches new health scheme,AI breakthroughs are officially confirmed by researchers.,Real
Unverified report on climate change,No credible sources back this claim about elections.,Fake
Rumors about elections go viral,No credible sources back this claim about elections.,Real
Celebrity found in secret scandal,Scientists provide evidence supporting the discovery.,Fake
Tech company releases new smartphone,Detailed report by experts confirms the news.,Fake
Tech company releases new smartphone,Press release confirms smartphone features and specs.,Fake
Government launches new health scheme,Rumors spread online without scientific validation.,Fake
New AI model beats humans in chess,Press release confirms smartphone features and specs.,Real
Government launches new health scheme,People panicked due to misleading earthquake news.,Real
Rumors about elections go viral,Detailed report by experts confirms the news.,Real
Stock market hits all-time high,People panicked due to misleading earthquake news.,Fake
Tech company releases new smartphone,Detailed report by experts confirms the news.,Real
New AI model beats humans in chess,AI breakthroughs are officially confirmed by researchers.,Real
Tech company releases new smartphone,Detailed report by experts confirms the news.,Real
Tech company releases new smartphone,Detailed report by experts confirms the news.,Real
Unverified report on climate change,Rumors spread online without scientific validation.,Fake
Rumors about elections go viral,Social media users are sharing false details widely.,Real
Fake claim about COVID-19 cure spreads,The article spreads misinformation without proof.,Fake
Government launches new health scheme,Financial experts analyze market trends and growth.,Fake
